ads41,type,ads,slab,molecule,E_exp,error_factor
C6H6 + Ag(111) -> C6H6/Ag(111),vdw,{'benzene_ag111': 1.0},{'ag111-3x3': -1.0},{'benzene': -1.0},-61.0,1.0
C6H6 + Au(111) -> C6H6/Au(111),vdw,{'benzene_au111': 1.0},{'au111-3x3': -1.0},{'benzene': -1.0},-70.0,1.0
C6H6 + Cu(111) -> C6H6/Cu(111),vdw,{'benzene_cu111': 1.0},{'cu111-3x3': -1.0},{'benzene': -1.0},-66.0,1.0
C6H6 + Pt(111) -> C6H6/Pt(111),vdw,{'benzene_pt111': 1.0},{'pt111-3x3': -1.0},{'benzene': -1.0},-162.0,1.0
C2H4 + Pt(111) -> CCH3/Pt(111)+H/Pt(111),chemi,"{'h_pt111-3x3_fcc': 1.0, 'cch3_pt111-3x3': 1.0}",{'pt111-3x3': -2.0},{'c2h4': -1.0},-131.2,0.5
C2H6 + Pt(111) -> C2H6/Pt(111),vdw,{'c2h6_pt111-3x3': 1.0},{'pt111-3x3': -1.0},{'c2h6': -1.0},-27.0,1.0
C3H8 + Pt(111) -> C3H8/Pt(111),vdw,{'c3h8_pt111-3x3': 1.0},{'pt111-3x3': -1.0},{'c3h8': -1.0},-39.0,1.0
C4H10 + Pt(111) -> C4H10/Pt(111),vdw,{'c4h10_pt111-3x3': 1.0},{'pt111-3x3': -1.0},{'c4h10': -1.0},-48.0,1.0
CCH3 + Pt(111) -> CCH3/Pt(111),chemi,{'cch3_pt111-3x3': 1.0},{'pt111-3x3': -1.0},{'cch3': -1.0},-131.2,1.0
CH2I2 + Pt(111) -> CH/Pt(111) + H/Pt(111) + 2I/Pt(111),chemi,"{'i_pt111': 2.0, 'h_pt111_fcc': 1.0, 'ch_pt111_fcc': 1.0}",{'pt111': -4.0},{'ch2i2': -1.0},-455.0,0.25
CH3 + Pt(111) -> CH3/Pt(111),chemi,{'ch3_pt111_top': 1.0},{'pt111': -1.0},{'ch3': -1.0},-209.0,0.5
CH3I + Pt(111) -> CH3I/Pt(111),vdw,{'ch3i_pt111_fcc': 1.0},{'pt111': -1.0},{'ch3i': -1.0},-84.0,1.0
CH3I + Pt(111) -> CH3/Pt(111) + I/Pt(111),chemi,"{'i_pt111': 1.0, 'ch3_pt111_top': 1.0}",{'pt111': -2.0},{'ch3i': -1.0},-209.0,0.5
CH4 + Pt(111) -> CH4/Pt(111),vdw,{'ch4_pt111': 1.0},{'pt111': -1.0},{'ch4': -1.0},-14,1.0
CH2I2 + Pt(111) -> CH/Pt(111) + H/Pt(111) + 2I/Pt(111),chemi,{'ch_pt111_fcc': 1.0},{'pt111': -1.0},{'ch': -1.0},-471.0,0.25
CO + Co(001) -> CO/Co(001),chemi,{'co_co001_top': 1.0},{'co001': -1.0},{'co': -1.0},-119.0,1.0
CO + Cu(111) -> CO/Cu(111),chemi,{'co_cu111_top': 1.0},{'cu111': -1.0},{'co': -1.0},-57.0,1.0
CO + Ir(111) -> CO/Ir(111),chemi,{'co_ir111_top': 1.0},{'ir111': -1.0},{'co': -1.0},-164.0,1.0
CO + Ni(111) -> CO/Ni(111),chemi,{'co_ni111_fcc': 1.0},{'ni111': -1.0},{'co': -1.0},-124.0,1.0
CO + Pd(100) -> CO/Pd(100),chemi,{'co_pd100_bri': 1.0},{'pd100': -1.0},{'co': -1.0},-157.0,1.0
CO + Pd(111) -> CO/Pd(111),chemi,{'co_pd111_fcc': 1.0},{'pd111': -1.0},{'co': -1.0},-144.0,1.0
CO + Pt(111) -> CO/Pt(111),chemi,{'co_pt111_top': 1.0},{'pt111': -1.0},{'co': -1.0},-124.0,1.0
CO + Rh(111) -> CO/Rh(111),chemi,{'co_rh111_top': 1.0},{'rh111': -1.0},{'co': -1.0},-142.0,1.0
CO + Ru(001) -> CO/Ru(001),chemi,{'co_ru001_top': 1.0},{'ru001': -1.0},{'co': -1.0},-161.0,1.0
C6H10 + Pt(111) -> C6H10/Pt(111),vdw,{'cyclohexene_pt111_disigma': 1.0},{'pt111-3x3': -1.0},{'cyclohexene': -1.0},-123.0,1.0
D2O + 1/3[O/Pt(111)] -> 2/3[(D2O..OD)/Pt(111)],vdw,"{'o_pt111-3x3_fcc': -0.3333333333333333, 'h2o_oh_pt111_3x3': 0.3333333333333333}",{'pt111-3x3': 0.0},"{'h2': 0.16666666666666666, 'h2o': -1.6666666666666667}",-66.0,0.5
D2O + Pt(111) -> D2O/Pt(111),vdw,{'h2o_pt111': 1.0},{'pt111': -1.0},{'h2o': -1.0},-55.0,1.0
H2 + Ni(100) -> 2H/Ni(100),chemi,{'h_ni100_hol': 2.0},{'ni100': -2.0},{'h2': -1.0},-87.0,0.5
H2 + Ni(111) -> 2H/Ni(111),chemi,{'h_ni111_fcc': 2.0},{'ni111': -2.0},{'h2': -1.0},-100.0,0.5
H2 + Pd(111) -> 2H/Pd(111),chemi,{'h_pd111_fcc': 2.0},{'pd111': -2.0},{'h2': -1.0},-90.0,0.5
H2 + Pt(111) -> 2H/Pt(111),chemi,{'h_pt111-3x3_fcc': 2.0},{'pt111-3x3': -2.0},{'h2': -1.0},-70.0,0.5
H2 + Pt(111) -> 2H/Pt(111),chemi,{'h_pt111_fcc': 2.0},{'pt111': -2.0},{'h2': -1.0},-72.0,0.5
H2 + Rh(111) -> 2H/Rh(111),chemi,{'h_rh111_fcc': 2.0},{'rh111': -2.0},{'h2': -1.0},-72.0,0.5
I2 + Pt(111) -> 2I/Pt(111),chemi,{'i_pt111': 2.0},{'pt111': -2.0},{'i2': -1.0},-313.0,0.5
CH3OH + Pt(111) -> CH3OH/Pt(111),vdw,{'meoh_pt111_top': 1.0},{'pt111': -1.0},{'ch3oh': -1.0},-55.0,1.0
N + Ni(100) -> N/Ni(100),chemi,{'n_ni100_hol': 1.0},{'ni100': -1.0},{'n2': -0.5},-288.0,1.0
C10H8 + Pt(111) -> C10H8/Pt(111),vdw,{'naphthalene_pt111-4x4': 1.0},{'pt111-4x4': -1.0},{'naphthalene': -1.0},-266.6,1.0
NH3 + Cu(100) -> NH3/Cu(100),vdw,{'nh3_cu100_top': 1.0},{'cu100': -1.0},{'nh3': -1.0},-60.0,1.0
NO + Ni(100) -> N/Ni(100) + O/Ni(100),chemi,"{'n_ni100_hol': 1.0, 'o_ni100_hol': 1.0}",{'ni100': -2.0},{'no': -1.0},-299.0,0.5
NO + Pd(100) -> NO/Pd(100),chemi,{'no_pd100_hol': 1.0},{'pd100': -1.0},{'no': -1.0},-163.0,1.0
NO + Pd(111) -> NO/Pd(111),chemi,{'no_pd111_fcc': 1.0},{'pd111': -1.0},{'no': -1.0},-182.0,1.0
NO + Pt(111) -> NO/Pt(111),chemi,{'no_pt111_fcc': 1.0},{'pt111': -1.0},{'no': -1.0},-119.0,1.0
O2 + Ni(100) -> 2O/Ni(100),chemi,{'o_ni100_hol': 2.0},{'ni100': -2.0},{'o2': -1.0},-530.0,0.5
O2 + Ni(111) -> 2O/Ni(111),chemi,{'o_ni111_fcc': 2.0},{'ni111': -2.0},{'o2': -1.0},-485.0,0.5
O2 + Pt(111) -> 2O/Pt(111),chemi,{'o_pt111-3x3_fcc': 2.0},{'pt111-3x3': -2.0},{'o2': -1.0},-208.0,0.5
O2 + Rh(100) -> 2O/Rh(100),chemi,{'o_rh100_hol': 2.0},{'rh100': -2.0},{'o2': -1.0},-355.0,0.5
