dbh24,initial,final,tst,Vf,Vb
1,"['dbh24_H', 'dbh24_N2O']","['dbh24_OH', 'dbh24_N2']",dbh24_tst_H_N2O__OH_N2,17.13,82.47
10,"['dbh24_OH', 'dbh24_CH4']","['dbh24_CH3', 'dbh24_H2O']",dbh24_tst_OH_CH4__CH3_H2O,6.7,19.6
11,"['dbh24_H', 'dbh24_OH']","['dbh24_O', 'dbh24_H2']",dbh24_tst_H_OH__O_H2,10.7,13.1
12,"['dbh24_H', 'dbh24_H2S']","['dbh24_H2', 'dbh24_HS']",dbh24_tst_H_H2S__H2_HS,3.6,17.3
2,"['dbh24_H', 'dbh24_HCl']","['dbh24_HCl', 'dbh24_H']",dbh24_tst_H_ClH__HCl_H,18.0,18.0
3,"['dbh24_CH3', 'dbh24_FCl']","['dbh24_CH3F', 'dbh24_Cl']",dbh24_tst_CH3_FCl__CH3F_Cl,6.75,60.0
4,['dbh24_Cl-ion_CH3Cl'],['dbh24_Cl-ion_CH3Cl'],dbh24_tst_Cl-ion_CH3Cl,13.41,13.41
5,['dbh24_F-ion_CH3Cl'],['dbh24_Cl-ion_CH3F'],dbh24_tst-Cl-ion_CH3F__F_ion_CH3Cl,3.44,29.42
6,"['dbh24_OH-ion', 'dbh24_CH3F']","['dbh24_CH3OH', 'dbh24_F-ion']",dbh24_tst-OH-ion_CH3F__F_ion_CH3OH,-2.44,17.66
7,"['dbh24_H', 'dbh24_N2']",['dbh24_HN2'],dbh24_tst_H_N2__HN2,14.36,10.61
8,"['dbh24_H', 'dbh24_C2H4']",['dbh24_CH3CH2'],dbh24_tst_H_C2H4__CH3CH2,1.72,41.75
9,['dbh24_HCN'],['dbh24_HNC'],dbh24_tst_HCN__HNC,48.07,32.82
