re42,products,reactants,stoch_prod,stoch_react,reaction_energy
1-3-cyclohexadiene__1-4-cyclohexadiene,['Cyclohexadiene_1_4'],['Cyclohexadiene_1_3'],[1],[1],-0.28830399999969814
1-4-cyclohexadiene_2H2__cyclohexane,['Cyclohexane'],"['Cyclohexadiene_1_4', 'H2']",[1],"[1, 2]",-67.7686929999997
2CO_2NO__2CO2_N2,"['CO2', 'N2']","['CO', 'NO']","[2, 1]","[2, 2]",-183.08379999999988
2CO_O2__2CO2,['CO2'],"['CO', 'O2']",[2],"[2, 1]",-139.71039999999996
2N2_O2__2N2O,['N2O'],"['N2', 'O2']",[2],"[2, 1]",36.12320000000008
2OH_H2__2H2O,['H2O'],"['OH', 'H2']",[2],"[2, 1]",-142.6595
2methanol_O2__2CO2_4H2,"['CO2', 'H2']","['CH3OH', 'O2']","[2, 4]","[2, 1]",-71.636
3O2__2O3,['O3'],['O2'],[2],[3],67.32740000000001
4CO_9H2__transbutane_4H2O,"['trans-butane', 'H2O']","['CO', 'H2']","[1, 4]","[4, 9]",-207.61819999999955
CH4_2Cl2__CCl4_2H2,"['CCl4', 'H2']","['CH4', 'Cl2']","[1, 2]","[1, 2]",4.358000000000075
CH4_2F2__CF4_2H2,"['CF4', 'H2']","['CH4', 'F2']","[1, 2]","[1, 2]",-198.21390000000002
CH4_CO2__2CO_2H2,"['CO', 'H2']","['CH4', 'CO2']","[2, 2]","[1, 1]",71.7238000000001
CH4_CO2__acetic-acid,['CH3COOH'],"['CH4', 'CO2']",[1],"[1, 1]",6.569399999999973
CH4_CO_H2__ethanol,['CH3CH2OH'],"['CH4', 'CO', 'H2']",[1],"[1, 1, 1]",-20.919299999999993
CH4_H2O__methanol_H2,"['CH3OH', 'H2']","['CH4', 'H2O']","[1, 1]","[1, 1]",30.64680000000004
CH4_NH3__HCN_3H2,"['HCN', 'H2']","['CH4', 'NH3']","[1, 3]","[1, 1]",76.56780000000003
CO2_3H2__methanol_H2O,"['CH3OH', 'H2O']","['CO2', 'H2']","[1, 1]","[1, 3]",-26.997400000000084
CO2_4H2__CH4_2H2O,"['CH4', 'H2O']","['CO2', 'H2']","[1, 2]","[1, 4]",-57.64420000000007
CO_2H2__methanol,['CH3OH'],"['CO', 'H2']",[1],"[1, 2]",-34.03720000000004
CO_3H2__CH4_H2O,"['CH4', 'H2O']","['CO', 'H2']","[1, 1]","[1, 3]",-64.68399999999997
CO_H2O__CO2_H2,"['CO2', 'H2']","['CO', 'H2O']","[1, 1]","[1, 1]",-7.039799999999957
CO_H2O__formic-acid,['HCOOH'],"['CO', 'H2O']",[1],"[1, 1]",-9.067800000000034
H2_O2__H2O2,['H2O2'],"['H2', 'O2']",[1],"[1, 1]",-38.74680000000001
N2_2H2__N2H4,['N2H4'],"['N2', 'H2']",[1],"[1, 2]",9.403300000000002
N2_2O2__2NO2,['NO2'],"['N2', 'O2']",[2],"[1, 2]",14.337400000000002
N2_3H2__2NH3,['NH3'],"['N2', 'H2']",[2],"[1, 3]",-38.67990000000003
N2_O2__2NO,['NO'],"['N2', 'O2']",[2],"[1, 1]",43.373399999999975
O2_2H2__2H2O,['H2O'],"['O2', 'H2']",[2],"[1, 2]",-125.63079999999997
O2_4HCl__2Cl2_2H2O,"['Cl2', 'H2O']","['O2', 'HCl']","[2, 2]","[1, 4]",-34.93539999999996
O2_H2__2OH,['OH'],"['O2', 'H2']",[2],"[1, 1]",17.028700000000015
SO2_3H2__H2S_2H2O,"['SH2', 'H2O']","['SO2', 'H2']","[1, 2]","[1, 3]",-60.4307
allene_2H2__propane,['C3H8'],"['C3H4_D2d', 'H2']",[1],"[1, 2]",-83.94130000000013
benzene_H2__1-4-cyclohexadiene,['Cyclohexadiene_1_4'],"['C6H6', 'H2']",[1],"[1, 1]",-0.2646599999996795
ethanol__dimethylether,['CH3OCH3'],['CH3CH2OH'],[1],[1],12.327400000000011
ethyne_H2__ethene,['C2H4'],"['C2H2', 'H2']",[1],"[1, 1]",-48.34910000000005
isobutane__transbutane,['trans-butane'],['isobutane'],[1],[1],1.771900000000187
ketene_2H2__ethene_H2O,"['C2H4', 'H2O']","['H2CCO', 'H2']","[1, 1]","[1, 2]",-44.39130000000006
methylamine_H2__CH4_NH3,"['CH4', 'NH3']","['H3CNH2', 'H2']","[1, 1]","[1, 1]",-26.437100000000072
oxirane_H2__ethene_H2O,"['C2H4', 'H2O']","['CH2OCH2', 'H2']","[1, 1]","[1, 1]",-35.95990000000015
propene_H2__propane,['C3H8'],"['C3H6_Cs', 'H2']",[1],"[1, 1]",-36.343000000000046
propyne_H2__propene,['C3H6_Cs'],"['C3H4_C3v', 'H2']",[1],"[1, 1]",-46.01090000000008
thioethanol_H2__H2S_ethane,"['SH2', 'C2H6']","['CH3CH2SH', 'H2']","[1, 1]","[1, 1]",-16.366900000000072
